schema_version,method_id,config_id,corruption_probability,candidate_budget,trials,raw_exact_trace_candidate_recall,post_budget_exact_trace_recall,exact_trace_recall_at_1,exact_trace_recall_at_8,exact_trace_recall_at_32,accepted_exact_trace_coverage,exact_trace_conditional_risk,ambiguous_wrong_acceptance_rate,decoder_contract_top1_accuracy,decoder_contract_candidate_fraction,distinct_contracts_after_routing,decoder_contract_entropy_before,decoder_contract_entropy_after,decoder_families_eliminated,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99,external_candidates_returned_median,external_candidates_returned_p95,external_candidates_reranked_median
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.1,100,512,1,1,0.931640625,1,1,0,0.0,0,0.966796875,0.4002685546875,4.921875,2.877961197630026,1.66375760220712,7.078125,1,0,2.9749993700534105e-05,0.000332399969920516,0.004758400027640164,0.0008660999592393637,0.006175949994940311,0.009957444941392165,0.021678351025329893,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.15,100,512,1,1,0.93359375,1,1,0,0.0,0,0.966796875,0.4119873046875,5.01171875,2.877961197630026,1.698263269042283,6.98828125,1,0,2.9799994081258774e-05,0.0003292500041425228,0.0047338499571196735,0.0008706999942660332,0.006188199971802533,0.009819080017041409,0.01723086100071668,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.0,100,1536,1,1,0.9453125,1,1,0.875,0.0,0,0.96875,0.4060872395833333,5.118489583333333,0.0,1.690945157685163,-5.118489583333333,1,0.9375,2.41999514400959e-05,0.00030625000363215804,0.0091398999793455,0.0008870000601746142,0.010632599995005876,0.01328420004574582,0.02171531007043091,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.01,100,1536,1,1,0.9375,1,1,0.875,0.0,0,0.966796875,0.4141642252604167,4.923177083333333,0.0,1.6359666285644803,-4.923177083333333,1,0.9375,2.429995220154524e-05,0.0003168999683111906,0.00924540002597496,0.0008862999966368079,0.010773000016342849,0.017490900034317747,0.031970119971083504,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.03,100,1536,1,1,0.939453125,1,1,0.875,0.0,0,0.966796875,0.3864339192708333,4.926432291666667,0.0,1.6678656728908134,-4.926432291666667,1,0.9375,2.5099958293139935e-05,0.0003309000749140978,0.010253899963572621,0.0009087499347515404,0.012411849980708212,0.02140460000373423,0.03789588002837293,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,32,1536,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.3883056640625,4.988932291666667,0.0,1.7261388960054458,-4.988932291666667,1,0.810546875,2.4400069378316402e-05,0.0002827500575222075,0.007133450009860098,0.0008313999860547483,0.00850504997652024,0.013428050035145134,0.03422900497098455,32.0,32.0,32.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,64,1536,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.4014689127604167,4.983072916666667,0.0,1.6723698222241672,-4.983072916666667,1,0.810546875,2.5400076992809772e-05,0.000344949949067086,0.009224700042977929,0.0008748499094508588,0.011482150002848357,0.021391450020018965,0.042453740019118495,64.0,64.0,64.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,100,1536,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.39727783203125,4.91796875,0.0,1.664195334020807,-4.91796875,1,0.810546875,2.4699955247342587e-05,0.00032970000756904483,0.009820199979003519,0.000892499927431345,0.011517599923536181,0.020052474981639534,0.037237954948796004,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.1,100,1536,1,1,0.931640625,1,1,0,0.0,0,0.966796875,0.3881429036458333,4.8125,0.0,1.6502882799635865,-4.8125,1,0,2.4399952962994576e-05,0.00032285001361742616,0.009439449990168214,0.0008789499406702816,0.01106920005986467,0.014642349997302517,0.021429575025104,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.15,100,1536,0.9973958333333334,0.9973958333333334,0.9309895833333334,0.9973958333333334,0.9973958333333334,0,0.0,0,0.9654947916666666,0.4003499348958333,4.774739583333333,0.0,1.6613836906340131,-4.774739583333333,1,0,2.4400069378316402e-05,0.00032534991623833776,0.00958020001417026,0.0008702499908395112,0.011124250013381243,0.01514145004330203,0.024917399993864858,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.0,100,512,1,1,0.9453125,1,1,0.875,0.0,0,0.96875,0.280029296875,6.9375,0.0,2.3486687718472616,-6.9375,1,0.9375,3.8899946957826614e-05,0.0001604999415576458,0.008997900004033,0.0008815501350909472,0.010388599941506982,0.012026850023539737,0.013888443979667493,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.01,100,512,1,1,0.9375,1,1,0.875,0.0,0,0.966796875,0.2874755859375,6.857421875,0.0,2.3392327513258935,-6.857421875,1,0.9375,3.900006413459778e-05,0.0001705000177025795,0.009394600056111813,0.0008847000426612794,0.010766349965706468,0.014571879961295053,0.0295001060736831,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.03,100,512,1,1,0.939453125,1,1,0.875,0.0,0,0.966796875,0.2769775390625,6.98046875,0.0,2.367337206466158,-6.98046875,1,0.9375,3.979995381087065e-05,0.00018344999989494681,0.01031264994526282,0.0009001499274745584,0.011970399995334446,0.019088235002709546,0.034041794951772314,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,32,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.27362060546875,6.828125,0.0,2.339229015445634,-6.828125,1,0.810546875,3.900006413459778e-05,0.00014599994756281376,0.0071588000282645226,0.0008189998916350305,0.00838750001275912,0.011556595022557303,0.019825598988681976,32.0,32.0,32.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,64,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.271484375,7.162109375,0.0,2.4060473591209313,-7.162109375,1,0.810546875,4.064996028319001e-05,0.00019035005243495107,0.00917410000693053,0.0008739000768400729,0.011079699965193868,0.018411940039368344,0.027334867053432386,64.0,64.0,64.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,100,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.27081298828125,7.02734375,0.0,2.3844996045090383,-7.02734375,1,0.810546875,3.929995000362396e-05,0.0001717500272206962,0.0097880499670282,0.0008949498878791928,0.011280699982307851,0.015211565006757154,0.01987131905741989,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.1,100,512,0.998046875,0.998046875,0.9296875,0.998046875,0.998046875,0,0.0,0,0.96484375,0.268798828125,7.060546875,0.0,2.3977686033519032,-7.060546875,0.998046875,0,3.899994771927595e-05,0.00017139996634796262,0.009369299979880452,0.0008730501285754144,0.01074900000821799,0.013200660061556846,0.018641034050378938,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.15,100,512,0.951171875,0.951171875,0.884765625,0.951171875,0.951171875,0,0.0,0,0.9375,0.2562255859375,7.291015625,0.0,2.4586080601043805,-7.291015625,0.998046875,0,3.91000066883862e-05,0.00016674998914822936,0.00953924999339506,0.0008773499284870923,0.010896799969486892,0.01400427502230741,0.02088749302434735,100.0,100.0,100.0
