schema_version,method_id,config_id,corruption_probability,candidate_budget,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,64,3.0499999411404133e-05,0.00037510000402107835,0.0038859499618411064,0.0008616499835625291,0.005818550009280443,0.012306700041517613,0.029286639072233712
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,100,2.989999484270811e-05,0.00033584999619051814,0.004873600031714886,0.0008884500130079687,0.006365200038999319,0.010778154968284069,0.020093816031003367
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.1,100,2.9749993700534105e-05,0.000332399969920516,0.004758400027640164,0.0008660999592393637,0.006175949994940311,0.009957444941392165,0.021678351025329893
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.15,100,2.9799994081258774e-05,0.0003292500041425228,0.0047338499571196735,0.0008706999942660332,0.006188199971802533,0.009819080017041409,0.01723086100071668
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.0,100,2.41999514400959e-05,0.00030625000363215804,0.0091398999793455,0.0008870000601746142,0.010632599995005876,0.01328420004574582,0.02171531007043091
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.01,100,2.429995220154524e-05,0.0003168999683111906,0.00924540002597496,0.0008862999966368079,0.010773000016342849,0.017490900034317747,0.031970119971083504
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.03,100,2.5099958293139935e-05,0.0003309000749140978,0.010253899963572621,0.0009087499347515404,0.012411849980708212,0.02140460000373423,0.03789588002837293
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,32,2.4400069378316402e-05,0.0002827500575222075,0.007133450009860098,0.0008313999860547483,0.00850504997652024,0.013428050035145134,0.03422900497098455
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,64,2.5400076992809772e-05,0.000344949949067086,0.009224700042977929,0.0008748499094508588,0.011482150002848357,0.021391450020018965,0.042453740019118495
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,100,2.4699955247342587e-05,0.00032970000756904483,0.009820199979003519,0.000892499927431345,0.011517599923536181,0.020052474981639534,0.037237954948796004
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.1,100,2.4399952962994576e-05,0.00032285001361742616,0.009439449990168214,0.0008789499406702816,0.01106920005986467,0.014642349997302517,0.021429575025104
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.15,100,2.4400069378316402e-05,0.00032534991623833776,0.00958020001417026,0.0008702499908395112,0.011124250013381243,0.01514145004330203,0.024917399993864858
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.0,100,3.8899946957826614e-05,0.0001604999415576458,0.008997900004033,0.0008815501350909472,0.010388599941506982,0.012026850023539737,0.013888443979667493
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.01,100,3.900006413459778e-05,0.0001705000177025795,0.009394600056111813,0.0008847000426612794,0.010766349965706468,0.014571879961295053,0.0295001060736831
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.03,100,3.979995381087065e-05,0.00018344999989494681,0.01031264994526282,0.0009001499274745584,0.011970399995334446,0.019088235002709546,0.034041794951772314
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,32,3.900006413459778e-05,0.00014599994756281376,0.0071588000282645226,0.0008189998916350305,0.00838750001275912,0.011556595022557303,0.019825598988681976
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,64,4.064996028319001e-05,0.00019035005243495107,0.00917410000693053,0.0008739000768400729,0.011079699965193868,0.018411940039368344,0.027334867053432386
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,100,3.929995000362396e-05,0.0001717500272206962,0.0097880499670282,0.0008949498878791928,0.011280699982307851,0.015211565006757154,0.01987131905741989
