schema_version,method_id,config_id,corruption_probability,query_subset,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,exact_trace_recall_at_32,exact_trace_acceptance_coverage,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.1,all,0.83203125,0,0.244140625,0,10.0,17.0,0.9989564453125,0.002379099896643311,0.003755785024259239,0.004548926022835074
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.15,all,0.798828125,0,0.111328125,0,10.0,16.0,0.99896796875,0.002395050134509802,0.0037118950276635587,0.004536088964669034
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.0,all,1,0.9375,1,0.875,48.0,62.0,0.995185546875,0.0101535000721924,0.013109984941547737,0.014003678903682157
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.01,all,1,0.9375,1,0.875,48.0,61.0,0.995185546875,0.01027759991120547,0.013192715053446592,0.015185420976486055
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.03,all,1,0.92578125,0.98828125,0.86328125,47.0,60.0,0.99529453125,0.010154100018553436,0.012978285050485282,0.015499627019744352
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.05,all,0.99609375,0.75,0.939453125,0.708984375,48.0,61.0,0.99520859375,0.010169200017116964,0.01282552511547692,0.015046235921327018
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.1,all,0.974609375,0.001953125,0.673828125,0.001953125,47.0,60.0,0.9952671875,0.010236000001896173,0.013084779994096607,0.017857901870738706
lazy-semantic-trace-stage-a1-dev-v1,B4_a1p_multi_table_lsh,B4_a1p_multi_table_lsh,0.15,all,0.970703125,0,0.43359375,0,46.0,59.0,0.995380078125,0.009979150083381683,0.013140295003540813,0.01484811907284893
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.0,all,1,0.9375,1,0.875,78.5,97.0,0.9921587890625,0.015915049996692687,0.01966324000968598,0.02078536406159401
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.01,all,1,0.9375,1,0.875,78.0,96.0,0.992158984375,0.015941050078254193,0.019436095043784008,0.020420949014369395
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.03,all,1,0.923828125,0.986328125,0.86328125,77.0,94.0,0.9923044921875,0.015803949965629727,0.01967221497907303,0.021725366986356673
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.05,all,0.994140625,0.75,0.943359375,0.7109375,78.0,96.0,0.9921826171875,0.015833849902264774,0.019747914909385145,0.020987663945415985
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.1,all,0.9765625,0.001953125,0.681640625,0.001953125,77.0,95.0,0.9922505859375,0.015589649963658303,0.019728949997806923,0.022894337959587546
lazy-semantic-trace-stage-a1-dev-v1,B5_a1s1_multi_table_lsh,B5_a1s1_multi_table_lsh,0.15,all,0.9765625,0,0.470703125,0,76.0,94.44999999999999,0.9923880859375,0.015422450029291213,0.01931826003710739,0.021042308934265747
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.0,all,1,0.9375,1,0.875,28.5,39.0,0.99712109375,0.006585949973668903,0.008689035038696603,0.00975240102387033
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.01,all,1,0.9375,1,0.875,28.0,39.0,0.9971212890625,0.00652220007032156,0.00890831503784284,0.01001832195324823
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.03,all,1,0.92578125,0.98828125,0.86328125,28.0,39.0,0.9971439453125,0.006638050021138042,0.00873912505339831,0.009811370967654508
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.05,all,0.994140625,0.751953125,0.94140625,0.71484375,28.0,38.0,0.997150390625,0.006535450054798275,0.0089325649139937,0.009810844913590699
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.1,all,0.96875,0.001953125,0.662109375,0.001953125,28.0,38.0,0.997188671875,0.006425199971999973,0.008600050082895903,0.009914518054574724
lazy-semantic-trace-stage-a1-dev-v1,B6_a1s2_multi_table_lsh,B6_a1s2_multi_table_lsh,0.15,all,0.97265625,0,0.41015625,0,27.0,36.0,0.9973083984375,0.006212900043465197,0.008373895031400024,0.009324016957543788
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.0,all,1,0.9375,1,0.875,43.0,57.0,0.9956943359375,0.009756599960383028,0.012833619891898705,0.014388070011045783
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.01,all,1,0.935546875,0.998046875,0.875,43.0,56.0,0.9956978515625,0.009892150002997369,0.012394650030182674,0.01477805194677784
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.03,all,1,0.89453125,0.953125,0.8359375,42.0,55.0,0.995781640625,0.009760849934536964,0.012733079993631692,0.014680126074235885
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.05,all,0.990234375,0.6875,0.837890625,0.6484375,42.0,57.0,0.9958078125000001,0.009643449971918017,0.012741235108114778,0.01414432392688468
