policy_id,thresholds,coverage,selective_risk,mean_compute,global_escalation_rate,abstention_rate,false_accept_rate,overall_correct_accept_rate,complexity
P0060,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0061,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0062,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0063,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0064,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0065,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0066,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0067,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0068,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0069,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.1, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
