schema_version,cell_id,dimensions,substrate,arm_id,exact_recovery_rate,median_decode_time_sec,p90_decode_time_sec,exact_recoveries_per_second,compute_spent_per_exact_recovery_sec
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step64,0.9375,0.005575391499995419,0.008481180999993398,151.83359410583654,0.006586157733333664
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_wallclock_matched_bcf_median,0.25,0.03170631549999925,0.035285295500003144,7.9671348675633595,0.12551563600000115
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.8125,0.040862227500003456,0.04615488950000213,19.986064946824328,0.050034861923076775
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,BCF,bcf_d512_f3_b4_reference,1.0,0.2827130979999879,0.49349266950000015,3.621391654295999,0.27613693724999777
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12,0.0,0.0187921865000078,0.025356309500011776,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step128,0.0,0.22914045849998388,0.2493180069999994,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_best_native_reconstruction,0.0,0.08251271699994334,0.09559099099999457,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_majority_vote,0.0,0.08654531500000928,0.09901057299998683,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_random_restart_selection,0.0,0.08826934650002727,0.09983915300006174,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32,0.0,0.05316195050001227,0.06954065100001117,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_best_native_reconstruction,0.0,0.2258620814999972,0.23835329399997818,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_majority_vote,0.0,0.2351191864999862,0.263664274000007,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_random_restart_selection,0.0,0.22736387000003333,0.241002707499959,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step64,0.0,0.11146337900001413,0.12800564700000905,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_wallclock_matched_bcf_median,0.0,0.17182202500001154,0.18091724299999612,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_wallclock_matched_bcf_p90,0.0,0.6210517240000115,0.6312359759998856,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12,0.0,0.019981150500015588,0.026919992500012313,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step128,0.0,0.2403817474999812,0.26715380949998746,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.0,0.08194889350005496,0.09845112950000612,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_majority_vote,0.0,0.08284186550002914,0.09827661650001573,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_random_restart_selection,0.0,0.08306609450005453,0.09864099949999172,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step32,0.0,0.05593957199999977,0.06409819700002117,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.0,0.23753841799995712,0.2485489830000347,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step32_r4_majority_vote,0.0,0.22833808749996365,0.24676718949996257,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step32_r4_random_restart_selection,0.0,0.21595761499996513,0.24390773400000398,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step64,0.0,0.11630725450000057,0.13076337449999187,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_wallclock_matched_bcf_median,0.0,0.16433160099998645,0.18537782699996797,0.0,
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.0625,0.6218097734999048,0.6393449034999321,0.10013842299439103,9.98617683499981
