schema_version,cell_id,dimensions,substrate,arm_id,median_decode_time_sec,p90_decode_time_sec,p99_decode_time_sec,median_end_to_end_time_sec,p90_end_to_end_time_sec,p99_end_to_end_time_sec,same_device_timing
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12,0.018983460499995886,0.0278169608999832,0.03290045920000666,0.023336005000004434,0.03402124899997716,0.03644931536001991,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step128,0.03279749200000026,0.058228126900010585,0.08561286755000225,0.0382569315000012,0.0654077073999929,0.09148407043000731,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.07897590549997346,0.09850494769998193,0.11364006624001718,0.08282239649997791,0.10518714979999685,0.11719530261000133,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_majority_vote,0.08115980250001087,0.09530111260004048,0.09702381063998956,0.0847292899999843,0.10069887580001477,0.10357346302005113,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step12_r4_random_restart_selection,0.08450641699998584,0.10049611570000253,0.10886812237004051,0.08951152850001165,0.10596361320004065,0.11304208680001979,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32,0.02652818599999307,0.053650088000014765,0.06172023476998903,0.032978628999998705,0.058936325300024364,0.06759965291997361,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.16114545900001076,0.1886454918999931,0.2105517720899755,0.1678096690000075,0.19378117030000794,0.21510089343996328,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_majority_vote,0.15029756749997603,0.19212486889999808,0.21891737000000833,0.15523152699996956,0.1978582404999912,0.22206775597999667,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_random_restart_selection,0.1490608645000009,0.1886256451000179,0.21855470227999263,0.15333654499998772,0.1950256298000113,0.22433577247000186,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step64,0.03207859500000154,0.06066559930000323,0.07574304096000986,0.03845757299998809,0.06489362370002141,0.08099595624000301,True
