schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C2_CAPSULE_ONLY,0.7421875,0.7421875,0.75,0.2890625,0.453125,0.00015829992480576038
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.75,0.75,0.75,0.2890625,0.4609375,0.00016650004545226693
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C4_CAPSULE_MISSING,0.75,0.75,0.75,0.2265625,0.5234375,0.00015590002294629812
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.75,0.75,0.75,0.2578125,0.4921875,0.00016315001994371414
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.7265625,0.7265625,0.75,0.3125,0.4140625,0.0001626000739634037
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C0_CLEAN,0.4140625,0.4140625,19.1640625,0.34375,0.0703125,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C1_SEMANTIC_ONLY,0.4296875,0.4296875,18.6796875,0.34375,0.0859375,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C2_CAPSULE_ONLY,0.4140625,0.4140625,19.1640625,0.3203125,0.09375,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.4453125,0.4453125,18.1953125,0.3828125,0.0625,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C4_CAPSULE_MISSING,0.4140625,0.4140625,19.1640625,0.3359375,0.078125,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.421875,0.421875,18.921875,0.3984375,0.0234375,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.421875,0.421875,18.921875,0.2890625,0.1328125,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0.4453125,0.4453125,18.1953125,0.375,0.0703125,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C1_SEMANTIC_ONLY,0.4453125,0.4453125,18.1953125,0.3828125,0.0625,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,0.421875,0.421875,18.921875,0.328125,0.09375,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.40625,0.40625,19.40625,0.3203125,0.0859375,0.0
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,0.40625,0.40625,19.40625,0.3125,0.09375,0.0
