schema_version,dataset_id,record_count,method_id,corruption_probability,trials,trace_recall_at_1,trace_recall_at_8,trace_recall_at_32,trace_recall_at_32_ci_low,trace_recall_at_32_ci_high,candidate_set_size_median,candidate_set_size_mean,candidate_reduction_ratio,operation_family_accuracy,arity_accuracy,namespace_contract_accuracy,wrong_trace_top1_rate,wrong_trace_acceptance_rate,abstention_rate,expansion_rate,fallback_rate,routing_latency_sec_median,reranking_latency_sec_median,total_query_latency_sec_median,verified_correct_trace_retrieval_per_candidate,expected_decoder_family_invocations_avoided,bucket_occupancy_mean,bucket_occupancy_p50,bucket_occupancy_p95,bucket_occupancy_p99,empty_bucket_rate,collision_rate,posting_count,memory_bytes_estimate,index_build_latency_sec
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B2_random_bucket_routing,0.01,32,0,0,0,0.0,0.1071791982550706,38.0,38.875,0.9961125,0.375,0.375,0.375,1,0,0,1,1,7.240002742037177e-05,0.008492750057484955,0.008573650033213198,0.0,9961.125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,40000.0,859328,0.10408199997618794
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B3_one_table_lsh,0.01,32,0.40625,0.40625,0.40625,0.2551963484266544,0.5773997512461713,4.0,3.875,0.9996125,0.5,0.625,0.5,0.59375,0,0.625,0,0.03125,0.0001012999564409256,0.0008978999685496092,0.0010023500071838498,0.10651041666666666,9996.125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,10000.0,263024,0.6445622000610456
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B4_multi_table_lsh,0.01,32,0.90625,0.90625,0.90625,0.7578184527161212,0.9675984487016337,12.0,12.15625,0.998784375,0.96875,0.96875,0.96875,0.09375,0,0.28125,0,0,0.00018089998047798872,0.002723550016526133,0.002923850028309971,0.06946158282506966,9987.84375,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.5029455999610946
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B5_bounded_multi_probe_lsh,0.01,32,0.6875,0.6875,0.6875,0.5143332169904459,0.8204745836639026,41.5,41.6875,0.99583125,0.78125,0.8125,0.78125,0.3125,0,0.4375,1,0,0.000982099969405681,0.00835995003581047,0.009445100033190101,0.013556424539679817,9958.3125,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.4937000999925658
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B0_global_exact_semantic_scan,0.03,32,1,1,1,0.8928208017449293,1.0,10000.0,10000,0.0,1,1,1,0,0,1,0,0,9.00006853044033e-07,1.5163775499677286,1.5163784999749623,0.0,0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,10000.0,40960000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B1_exact_content_hash_only,0.03,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,0.00012735003838315606,2.00001522898674e-07,0.00012755003990605474,0.0,10000,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,810000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B2_random_bucket_routing,0.03,32,0,0,0,0.0,0.1071791982550706,39.5,38.125,0.9961875,0.125,0.15625,0.125,1,0,0,1,1,7.065001409500837e-05,0.007735299994237721,0.007803549990057945,0.0,9961.875,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,40000.0,859328,0.10408199997618794
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B3_one_table_lsh,0.03,32,0.1875,0.1875,0.1875,0.08889544689565954,0.3530915520137596,2.5,2.6875,0.99973125,0.34375,0.4375,0.34375,0.8125,0,0.96875,0,0.03125,9.729998419061303e-05,0.0007111000013537705,0.0008398499921895564,0.0,9997.3125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,10000.0,263024,0.6445622000610456
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B4_multi_table_lsh,0.03,32,0.71875,0.71875,0.71875,0.5462549057408342,0.8443541950225723,11.0,10.6875,0.99893125,0.78125,0.8125,0.78125,0.28125,0,1,0,0,0.00017330003902316093,0.0020166499889455736,0.002215700049418956,0.0,9989.3125,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.5029455999610946
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B5_bounded_multi_probe_lsh,0.03,32,0.4375,0.4375,0.4375,0.2816533111504036,0.6067440886314801,41.5,40.9375,0.99590625,0.53125,0.53125,0.53125,0.5625,0,1,1,0,0.0009282000246457756,0.008146249980200082,0.009274450014345348,0.0,9959.0625,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.4937000999925658
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B0_global_exact_semantic_scan,0.05,32,1,1,1,0.8928208017449293,1.0,10000.0,10000,0.0,1,1,1,0,0,1,0,0,9.00006853044033e-07,1.4813419499550946,1.4813428499619476,0.0,0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,10000.0,40960000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B1_exact_content_hash_only,0.05,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,0.0001295000547543168,2.00001522898674e-07,0.00012995005818083882,0.0,10000,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,810000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B2_random_bucket_routing,0.05,32,0,0,0,0.0,0.1071791982550706,38.5,39.15625,0.996084375,0.0625,0.21875,0.0625,1,0,0,1,1,6.955000571906567e-05,0.007860250014346093,0.007935850007925183,0.0,9960.84375,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,40000.0,859328,0.10408199997618794
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B3_one_table_lsh,0.05,32,0.21875,0.21875,0.21875,0.11023836252604186,0.3875499364924353,2.5,2.71875,0.999728125,0.25,0.28125,0.25,0.78125,0,0.90625,0,0.09375,9.804998990148306e-05,0.0007279500714503229,0.0008383000968024135,0.0,9997.28125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,10000.0,263024,0.6445622000610456
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B4_multi_table_lsh,0.05,32,0.5,0.5,0.5,0.33630882869327483,0.6636911713067252,10.5,10.5,0.99895,0.65625,0.65625,0.65625,0.5,0,1,0,0,0.00017399998614564538,0.001989849959500134,0.002279750013258308,0.0,9989.5,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.5029455999610946
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B5_bounded_multi_probe_lsh,0.05,32,0.40625,0.40625,0.40625,0.2551963484266544,0.5773997512461713,41.0,40.5,0.99595,0.5625,0.59375,0.5625,0.59375,0,1,1,0,0.0009197499603033066,0.007879050041083246,0.008816400018986315,0.0,9959.5,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.4937000999925658
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B0_global_exact_semantic_scan,0.1,32,1,1,1,0.8928208017449293,1.0,10000.0,10000,0.0,1,1,1,0,0,1,0,0,9.00006853044033e-07,1.4852505000308156,1.48525150003843,0.0,0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,10000.0,40960000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B1_exact_content_hash_only,0.1,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,0.00013825000496581197,2.00001522898674e-07,0.0001385000068694353,0.0,10000,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,810000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B2_random_bucket_routing,0.1,32,0,0,0,0.0,0.1071791982550706,38.5,37.4375,0.99625625,0.40625,0.53125,0.40625,1,0,0,1,1,6.874999962747097e-05,0.007868549961131066,0.00794729997869581,0.0,9962.5625,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,40000.0,859328,0.10408199997618794
