schema_version,task_class,point_id,substrate,config_id,task_generation_time_sec,representation_materialization_time_sec,decoder_initialization_time_sec,decode_time_sec,end_to_end_time_sec,observation_bytes,codebook_bytes,decoder_state_bytes,peak_ram_bytes,peak_vram_bytes
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.8620999998452135e-05,0.0033030249999974615,0.00035506100000048946,0.006324142000000421,0.010010848999996824,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.8421000003220342e-05,0.0012841419999993775,0.0004288149999993607,0.005528359000003036,0.007269737000004994,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,4.6635000000350146e-05,0.0038693409999979167,0.00026469399999839993,0.0036712389999991046,0.007851908999995771,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.8528000001036844e-05,0.0026875259999989964,0.0003685369999999466,0.005388662000001432,0.008483253000001412,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.3424999998032945e-05,0.0022159239999979263,0.00024245599999872525,0.004640981000001432,0.007132785999996116,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.962099999948009e-05,0.0035609880000002647,0.00023885399999912238,0.003929123999999007,0.007758586999997874,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,9.496999999925038e-05,0.0022461430000007,0.0002879849999999351,0.0035427759999997477,0.006171873999999633,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.442599999914364e-05,0.005390964000000054,0.00026447000000118237,0.006464653000001874,0.012154513000002254,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,0.00020354899999830423,0.004869228000000447,0.0002656710000010776,0.003397581999998067,0.008736029999997896,4096,122880,12408,1090953216,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,5.183800000096994e-05,0.002222126999999574,0.00030029299999867476,0.003812049000000428,0.006386306999999647,4096,122880,12408,1090953216,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,3.1422999999364265e-05,0.004023885000002281,0.0002534629999999538,0.006827786000002334,0.011136557000003933,4096,122880,12408,1090953216,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,3.10219999981598e-05,0.0024275599999974418,0.00027807900000098584,0.0036011140000020703,0.006337774999998658,4096,122880,12408,1090953216,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,3.052199999942218e-05,0.003751609999998351,0.00041406599999760374,0.0034129930000013076,0.0076091909999966845,4096,122880,12408,1090953216,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,2.972200000073144e-05,0.0026070750000002363,0.00028468300000028535,0.0035302680000022235,0.006451748000003477,4096,122880,12408,1091084288,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,2.9820999998264597e-05,0.0028758470000020964,0.00028498300000023846,0.003744806000000267,0.006935457000000866,4096,122880,12408,1091084288,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,2.8720999999620744e-05,0.0024629819999972824,0.0002519620000001055,0.006260121000000396,0.009003785999997405,4096,122880,12408,1091084288,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,2.8620999998452135e-05,0.00730159100000094,0.0002549639999998021,0.010216362999997841,0.017801538999997035,4096,122880,12408,1091084288,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,2.8421000003220342e-05,0.002525321999996777,0.0009376030000005642,0.00339758299999815,0.006888928999998711,4096,122880,12408,1091084288,9112576
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d1024,4.6635000000350146e-05,0.004213106999998217,0.0002549639999998021,0.003332840999998865,0.007847546999997235,4096,122880,12408,1091084288,9112576
